id,name,age,income,purchase_date,product_category,purchase_amount,rating
26,Alice Brown,53,104728.0,2023-01-02 01:00:00,,413.01,
27,Alice Brown,27,54003.0,2023-01-02 02:00:00,Clothing,293.58,2.0
28,Jane Smith,53,,2023-01-02 03:00:00,Clothing,244.15,3.0
29,Bob White,38,60955.0,2023-01-02 04:00:00,Sports,450.02,3.0
30,Bob White,42,71674.0,2023-01-02 05:00:00,Home & Kitchen,174.11,3.0
31,Alice Brown,57,35032.0,2023-01-02 06:00:00,Sports,235.84,3.0
32,Bob White,26,112347.0,2023-01-02 07:00:00,Books,477.54,4.0
33,Bob White,44,76502.0,2023-01-02 08:00:00,Clothing,141.87,
34,John Doe,32,44993.0,2023-01-02 09:00:00,Books,347.59,2.0
35,Alice Brown,49,36936.0,2023-01-02 10:00:00,Books,88.17,1.0
36,Charlie Gray,61,104507.0,2023-01-02 11:00:00,Books,279.43,1.0
37,Alice Brown,56,60468.0,2023-01-02 12:00:00,Home & Kitchen,426.44,3.0
38,Charlie Gray,33,41577.0,2023-01-02 13:00:00,Clothing,152.71,3.0
39,John Doe,45,114002.0,2023-01-02 14:00:00,Clothing,91.99,
40,Jane Smith,23,115641.0,2023-01-02 15:00:00,Clothing,437.96,2.0
41,Bob White,23,89601.0,2023-01-02 16:00:00,Sports,93.7,3.0
42,John Doe,55,28722.0,2023-01-02 17:00:00,Electronics,454.46,4.0
43,Bob White,64,50469.0,2023-01-02 18:00:00,Clothing,363.25,2.0
44,Jane Smith,19,82127.0,2023-01-02 19:00:00,Home & Kitchen,89.81,5.0
45,Jane Smith,58,100910.0,2023-01-02 20:00:00,Home & Kitchen,448.92,3.0
46,John Doe,57,82572.0,2023-01-02 21:00:00,Electronics,127.17,1.0
47,Jane Smith,24,63131.0,2023-01-02 22:00:00,Sports,131.63,3.0
48,Charlie Gray,44,99152.0,2023-01-02 23:00:00,Home & Kitchen,379.77,3.0
49,Jane Smith,45,23089.0,2023-01-03 00:00:00,Electronics,310.27,4.0
50,Bob White,33,26227.0,2023-01-03 01:00:00,Home & Kitchen,415.17,3.0
51,Bob White,64,24800.0,2023-01-03 02:00:00,Electronics,200.16,2.0
52,Bob White,26,86453.0,2023-01-03 03:00:00,Home & Kitchen,364.64,2.0
53,Bob White,32,100239.0,2023-01-03 04:00:00,Sports,278.06,4.0
54,Charlie Gray,51,44273.0,2023-01-03 05:00:00,Sports,261.76,4.0
55,Alice Brown,37,42921.0,2023-01-03 06:00:00,Home & Kitchen,316.72,5.0
56,John Doe,31,22067.0,2023-01-03 07:00:00,Home & Kitchen,456.38,
57,Bob White,28,111131.0,2023-01-03 08:00:00,Books,316.49,3.0
58,Jane Smith,47,46599.0,2023-01-03 09:00:00,Clothing,274.87,5.0
59,Bob White,20,116197.0,2023-01-03 10:00:00,Sports,492.41,2.0
60,Jane Smith,19,111452.0,2023-01-03 11:00:00,Home & Kitchen,415.33,2.0
61,Jane Smith,31,55172.0,2023-01-03 12:00:00,Clothing,11.4,4.0
62,Bob White,46,85338.0,2023-01-03 13:00:00,Home & Kitchen,122.88,1.0
63,Charlie Gray,22,43701.0,2023-01-03 14:00:00,Clothing,221.28,4.0
64,Jane Smith,61,94499.0,2023-01-03 15:00:00,Clothing,223.76,2.0
65,Jane Smith,63,66674.0,2023-01-03 16:00:00,Sports,476.88,2.0
66,Bob White,23,51132.0,2023-01-03 17:00:00,Books,153.96,2.0
67,Jane Smith,25,72025.0,2023-01-03 18:00:00,Electronics,485.19,5.0
68,Jane Smith,56,34393.0,2023-01-03 19:00:00,Home & Kitchen,21.33,2.0
69,Bob White,56,107400.0,2023-01-03 20:00:00,Clothing,452.54,2.0
70,Bob White,61,69868.0,2023-01-03 21:00:00,Books,320.56,1.0
71,John Doe,46,49094.0,2023-01-03 22:00:00,Clothing,207.74,
72,Charlie Gray,56,62040.0,2023-01-03 23:00:00,Home & Kitchen,495.17,3.0
73,Charlie Gray,61,106079.0,2023-01-04 00:00:00,Electronics,498.96,4.0
74,Jane Smith,44,108405.0,2023-01-04 01:00:00,Sports,212.85,5.0
75,Charlie Gray,33,119761.0,2023-01-04 02:00:00,Electronics,100.71,2.0
76,Jane Smith,44,75830.0,2023-01-04 03:00:00,Sports,231.08,2.0
77,John Doe,56,105521.0,2023-01-04 04:00:00,Clothing,417.25,3.0
78,Bob White,57,89373.0,2023-01-04 05:00:00,Books,353.57,1.0
79,Bob White,18,44656.0,2023-01-04 06:00:00,Sports,34.2,
80,Bob White,62,71580.0,2023-01-04 07:00:00,Clothing,115.28,4.0
81,Charlie Gray,50,109950.0,2023-01-04 08:00:00,Home & Kitchen,235.64,5.0
82,John Doe,56,105915.0,2023-01-04 09:00:00,Home & Kitchen,479.44,
83,Charlie Gray,44,88231.0,2023-01-04 10:00:00,Books,310.31,4.0
84,Charlie Gray,34,24511.0,2023-01-04 11:00:00,Books,30.08,3.0
85,John Doe,32,47242.0,2023-01-04 12:00:00,Home & Kitchen,194.87,1.0
86,John Doe,39,101877.0,2023-01-04 13:00:00,Home & Kitchen,453.85,1.0
87,John Doe,36,85277.0,2023-01-04 14:00:00,Sports,255.44,1.0
88,John Doe,45,40263.0,2023-01-04 15:00:00,Books,53.05,
89,Bob White,40,89298.0,2023-01-04 16:00:00,Home & Kitchen,301.25,3.0
90,Alice Brown,53,49230.0,2023-01-04 17:00:00,Sports,340.35,
91,Alice Brown,56,52990.0,2023-01-04 18:00:00,Clothing,377.6,3.0
92,John Doe,37,34450.0,2023-01-04 19:00:00,Books,171.18,3.0
93,Alice Brown,64,34661.0,2023-01-04 20:00:00,Books,351.99,2.0
94,Alice Brown,26,108259.0,2023-01-04 21:00:00,Home & Kitchen,163.48,3.0
95,John Doe,40,37398.0,2023-01-04 22:00:00,Home & Kitchen,262.56,3.0
96,Alice Brown,62,53786.0,2023-01-04 23:00:00,Home & Kitchen,14.65,
97,Charlie Gray,24,81318.0,2023-01-05 00:00:00,Home & Kitchen,338.68,2.0
98,Jane Smith,48,38680.0,2023-01-05 01:00:00,Electronics,192.29,
99,Jane Smith,28,51169.0,2023-01-05 02:00:00,Home & Kitchen,353.98,
100,John Doe,57,47701.0,2023-01-05 03:00:00,Clothing,482.36,4.0
101,Bob White,34,74925.0,2023-01-05 04:00:00,Home & Kitchen,45.13,3.0
102,John Doe,53,51464.0,2023-01-05 05:00:00,Home & Kitchen,430.41,3.0
103,Bob White,43,25269.0,2023-01-05 06:00:00,Clothing,120.13,3.0
104,Jane Smith,53,101604.0,2023-01-05 07:00:00,Sports,124.86,2.0
105,John Doe,35,31319.0,2023-01-05 08:00:00,Clothing,116.89,3.0
106,Charlie Gray,48,105867.0,2023-01-05 09:00:00,Books,73.07,3.0
107,Alice Brown,52,24411.0,2023-01-05 10:00:00,Clothing,102.08,5.0
108,Bob White,58,95314.0,2023-01-05 11:00:00,Books,372.49,3.0
109,Alice Brown,45,90031.0,2023-01-05 12:00:00,Electronics,385.38,3.0
110,Alice Brown,43,62475.0,2023-01-05 13:00:00,,480.82,2.0
111,John Doe,23,41631.0,2023-01-05 14:00:00,Sports,56.37,2.0
112,Alice Brown,51,44453.0,2023-01-05 15:00:00,Electronics,79.54,1.0
113,Charlie Gray,45,119072.0,2023-01-05 16:00:00,Home & Kitchen,443.14,4.0
114,Alice Brown,61,110135.0,2023-01-05 17:00:00,Sports,284.47,3.0
115,John Doe,64,32618.0,2023-01-05 18:00:00,Clothing,274.86,3.0
116,Charlie Gray,26,90826.0,2023-01-05 19:00:00,Clothing,387.11,2.0
117,Jane Smith,46,65160.0,2023-01-05 20:00:00,Sports,278.72,4.0
118,Alice Brown,51,97729.0,2023-01-05 21:00:00,Home & Kitchen,35.77,3.0
119,John Doe,29,91647.0,2023-01-05 22:00:00,Home & Kitchen,450.09,3.0
120,Jane Smith,33,27224.0,2023-01-05 23:00:00,Electronics,71.29,
121,Jane Smith,24,74932.0,2023-01-06 00:00:00,Sports,242.67,4.0
122,Bob White,48,71232.0,2023-01-06 01:00:00,Books,185.44,5.0
123,Charlie Gray,50,45760.0,2023-01-06 02:00:00,Sports,188.09,3.0
124,Alice Brown,24,90763.0,2023-01-06 03:00:00,Home & Kitchen,145.69,4.0
125,John Doe,20,76291.0,2023-01-06 04:00:00,Home & Kitchen,478.81,
126,Bob White,37,,2023-01-06 05:00:00,Electronics,46.64,
127,Charlie Gray,22,55915.0,2023-01-06 06:00:00,Sports,402.23,3.0
128,Bob White,20,75200.0,2023-01-06 07:00:00,Clothing,199.3,3.0
129,Charlie Gray,64,89483.0,2023-01-06 08:00:00,Books,31.06,5.0
130,Charlie Gray,55,63457.0,2023-01-06 09:00:00,Sports,288.65,4.0
131,Alice Brown,32,58819.0,2023-01-06 10:00:00,Books,189.24,3.0
132,Charlie Gray,52,68874.0,2023-01-06 11:00:00,Sports,114.2,4.0
133,Bob White,40,29141.0,2023-01-06 12:00:00,Home & Kitchen,188.35,3.0
134,Charlie Gray,50,40913.0,2023-01-06 13:00:00,Books,488.67,5.0
135,Alice Brown,19,45201.0,2023-01-06 14:00:00,Sports,384.13,3.0
136,Alice Brown,53,117262.0,2023-01-06 15:00:00,Clothing,410.88,3.0
137,Bob White,38,85940.0,2023-01-06 16:00:00,Home & Kitchen,265.13,4.0
138,Jane Smith,31,,2023-01-06 17:00:00,Clothing,151.26,3.0
139,Jane Smith,31,44718.0,2023-01-06 18:00:00,Electronics,276.36,4.0
140,Charlie Gray,59,39190.0,2023-01-06 19:00:00,Electronics,275.06,3.0
141,John Doe,28,21818.0,2023-01-06 20:00:00,Electronics,78.42,2.0
142,Charlie Gray,21,57417.0,2023-01-06 21:00:00,Home & Kitchen,332.68,4.0
143,Bob White,64,107303.0,2023-01-06 22:00:00,Clothing,391.73,4.0
144,Bob White,47,97020.0,2023-01-06 23:00:00,Sports,276.72,4.0
145,Bob White,53,78122.0,2023-01-07 00:00:00,Home & Kitchen,201.44,3.0
146,Bob White,37,54708.0,2023-01-07 01:00:00,Sports,321.23,2.0
147,Bob White,33,,2023-01-07 02:00:00,Home & Kitchen,270.96,1.0
148,Alice Brown,51,119371.0,2023-01-07 03:00:00,Books,46.13,1.0
149,Jane Smith,62,84934.0,2023-01-07 04:00:00,Electronics,190.36,4.0
150,Bob White,25,53757.0,2023-01-07 05:00:00,Electronics,463.53,5.0
151,John Doe,62,94016.0,2023-01-07 06:00:00,Books,35.45,
152,John Doe,37,76898.0,2023-01-07 07:00:00,Clothing,145.49,
153,John Doe,38,49452.0,2023-01-07 08:00:00,Electronics,429.0,
154,John Doe,57,88643.0,2023-01-07 09:00:00,Electronics,5.66,2.0
155,Alice Brown,47,107139.0,2023-01-07 10:00:00,Clothing,470.88,2.0
156,John Doe,53,37558.0,2023-01-07 11:00:00,Clothing,345.65,2.0
157,Bob White,22,111271.0,2023-01-07 12:00:00,Books,192.66,2.0
158,Charlie Gray,38,62765.0,2023-01-07 13:00:00,Electronics,19.11,1.0
159,John Doe,55,68407.0,2023-01-07 14:00:00,Books,27.59,4.0
160,Alice Brown,40,66454.0,2023-01-07 15:00:00,Home & Kitchen,151.31,5.0
161,Alice Brown,36,39921.0,2023-01-07 16:00:00,Clothing,331.27,2.0
162,John Doe,27,43975.0,2023-01-07 17:00:00,Clothing,38.29,2.0
163,Charlie Gray,44,60548.0,2023-01-07 18:00:00,Electronics,441.42,2.0
164,John Doe,52,70840.0,2023-01-07 19:00:00,Sports,429.53,3.0
165,Alice Brown,30,68245.0,2023-01-07 20:00:00,Books,146.16,5.0
166,Jane Smith,26,118030.0,2023-01-07 21:00:00,Clothing,101.26,4.0
167,Bob White,34,96755.0,2023-01-07 22:00:00,Clothing,217.56,3.0
168,Alice Brown,48,115248.0,2023-01-07 23:00:00,Electronics,144.76,5.0
169,John Doe,59,102563.0,2023-01-08 00:00:00,Electronics,475.45,3.0
170,Bob White,61,50292.0,2023-01-08 01:00:00,Sports,293.44,2.0
171,John Doe,62,42227.0,2023-01-08 02:00:00,Home & Kitchen,369.36,1.0
172,John Doe,41,109964.0,2023-01-08 03:00:00,Home & Kitchen,267.65,3.0
173,Jane Smith,59,97928.0,2023-01-08 04:00:00,Electronics,419.13,1.0
174,Bob White,36,117320.0,2023-01-08 05:00:00,Sports,53.4,
175,Bob White,47,71771.0,2023-01-08 06:00:00,Electronics,362.74,4.0
176,Jane Smith,22,46198.0,2023-01-08 07:00:00,Home & Kitchen,384.95,2.0
177,Alice Brown,25,,2023-01-08 08:00:00,Books,183.34,4.0
178,John Doe,54,26069.0,2023-01-08 09:00:00,Clothing,47.28,1.0
179,Charlie Gray,64,103763.0,2023-01-08 10:00:00,Clothing,328.38,5.0
180,John Doe,53,102452.0,2023-01-08 11:00:00,Sports,155.53,3.0
181,John Doe,42,118937.0,2023-01-08 12:00:00,Home & Kitchen,293.91,3.0
182,Alice Brown,62,49175.0,2023-01-08 13:00:00,Sports,441.11,3.0
183,John Doe,22,42187.0,2023-01-08 14:00:00,,416.83,1.0
184,Jane Smith,50,104100.0,2023-01-08 15:00:00,Sports,290.07,4.0
185,Jane Smith,39,37340.0,2023-01-08 16:00:00,Clothing,58.75,3.0
186,Bob White,64,77562.0,2023-01-08 17:00:00,Sports,226.51,2.0
187,Charlie Gray,59,97189.0,2023-01-08 18:00:00,Home & Kitchen,364.28,3.0
188,John Doe,42,39440.0,2023-01-08 19:00:00,Home & Kitchen,285.67,4.0
189,John Doe,60,64608.0,2023-01-08 20:00:00,Books,168.0,2.0
190,Alice Brown,46,88254.0,2023-01-08 21:00:00,Home & Kitchen,157.66,1.0
191,Jane Smith,62,105292.0,2023-01-08 22:00:00,Clothing,340.83,4.0
192,Charlie Gray,47,24209.0,2023-01-08 23:00:00,Home & Kitchen,317.69,2.0
193,Bob White,47,104790.0,2023-01-09 00:00:00,Electronics,298.16,2.0
194,Jane Smith,61,93787.0,2023-01-09 01:00:00,Sports,476.24,4.0
195,Bob White,63,119230.0,2023-01-09 02:00:00,Books,447.95,
196,Alice Brown,48,74002.0,2023-01-09 03:00:00,Electronics,160.44,4.0
197,Alice Brown,51,75410.0,2023-01-09 04:00:00,Home & Kitchen,128.24,2.0
198,John Doe,45,97776.0,2023-01-09 05:00:00,Home & Kitchen,461.75,2.0
199,Charlie Gray,27,,2023-01-09 06:00:00,Sports,108.11,4.0
200,Bob White,21,86151.0,2023-01-09 07:00:00,Sports,488.69,3.0
201,Jane Smith,50,37967.0,2023-01-09 08:00:00,Clothing,111.65,4.0
202,Alice Brown,34,30319.0,2023-01-09 09:00:00,Books,58.6,5.0
203,John Doe,28,111162.0,2023-01-09 10:00:00,Clothing,198.38,2.0
204,John Doe,24,56623.0,2023-01-09 11:00:00,Home & Kitchen,450.99,3.0
205,Bob White,34,56275.0,2023-01-09 12:00:00,Books,367.02,4.0
206,Alice Brown,45,107272.0,2023-01-09 13:00:00,Books,301.3,4.0
207,Charlie Gray,34,74636.0,2023-01-09 14:00:00,Clothing,352.27,3.0
208,Alice Brown,58,74659.0,2023-01-09 15:00:00,Home & Kitchen,262.48,4.0
209,Bob White,27,67476.0,2023-01-09 16:00:00,Home & Kitchen,162.32,3.0
210,Bob White,43,94074.0,2023-01-09 17:00:00,Clothing,251.02,2.0
211,Alice Brown,23,97237.0,2023-01-09 18:00:00,Books,193.0,2.0
212,Bob White,34,25256.0,2023-01-09 19:00:00,Books,385.17,2.0
213,Alice Brown,33,23224.0,2023-01-09 20:00:00,Electronics,87.53,3.0
214,Jane Smith,56,98167.0,2023-01-09 21:00:00,Clothing,227.68,3.0
215,Alice Brown,43,104025.0,2023-01-09 22:00:00,Home & Kitchen,57.8,
216,Alice Brown,21,36603.0,2023-01-09 23:00:00,Electronics,26.43,4.0
217,Bob White,37,41521.0,2023-01-10 00:00:00,Clothing,120.07,3.0
218,Bob White,58,100299.0,2023-01-10 01:00:00,Books,84.72,1.0
219,John Doe,28,85113.0,2023-01-10 02:00:00,Sports,392.02,3.0
220,John Doe,40,49513.0,2023-01-10 03:00:00,Clothing,84.4,2.0
221,Jane Smith,50,21200.0,2023-01-10 04:00:00,Books,337.81,4.0
222,John Doe,48,74827.0,2023-01-10 05:00:00,Sports,253.92,2.0
223,Alice Brown,24,91370.0,2023-01-10 06:00:00,Home & Kitchen,183.76,4.0
224,Bob White,39,78317.0,2023-01-10 07:00:00,Sports,35.53,4.0
225,John Doe,22,100374.0,2023-01-10 08:00:00,Home & Kitchen,211.37,2.0
226,John Doe,54,91589.0,2023-01-10 09:00:00,Sports,286.51,3.0
227,Jane Smith,18,53472.0,2023-01-10 10:00:00,Books,63.26,3.0
228,Jane Smith,23,49311.0,2023-01-10 11:00:00,Electronics,455.27,1.0
229,Alice Brown,62,79997.0,2023-01-10 12:00:00,Home & Kitchen,59.85,1.0
230,Bob White,64,115021.0,2023-01-10 13:00:00,Clothing,416.14,2.0
231,Jane Smith,21,79104.0,2023-01-10 14:00:00,Sports,392.71,3.0
232,John Doe,47,42785.0,2023-01-10 15:00:00,Clothing,442.92,4.0
233,Bob White,47,88465.0,2023-01-10 16:00:00,Home & Kitchen,57.55,3.0
234,Bob White,34,55219.0,2023-01-10 17:00:00,Home & Kitchen,232.79,4.0
235,John Doe,41,21247.0,2023-01-10 18:00:00,Sports,160.69,2.0
236,Jane Smith,48,69922.0,2023-01-10 19:00:00,Clothing,344.41,2.0
237,John Doe,45,,2023-01-10 20:00:00,Electronics,97.62,
238,Bob White,62,89892.0,2023-01-10 21:00:00,Electronics,49.54,3.0
239,Charlie Gray,60,117555.0,2023-01-10 22:00:00,Electronics,113.31,3.0
240,Charlie Gray,21,75042.0,2023-01-10 23:00:00,Electronics,496.01,5.0
241,Alice Brown,56,65826.0,2023-01-11 00:00:00,Electronics,131.23,
242,John Doe,36,56195.0,2023-01-11 01:00:00,Sports,146.87,
243,John Doe,41,22373.0,2023-01-11 02:00:00,Electronics,362.32,3.0
244,Alice Brown,24,98051.0,2023-01-11 03:00:00,Home & Kitchen,159.31,5.0
245,Alice Brown,63,30839.0,2023-01-11 04:00:00,Home & Kitchen,266.57,5.0
246,Alice Brown,26,77215.0,2023-01-11 05:00:00,Sports,376.67,3.0
247,Bob White,39,105294.0,2023-01-11 06:00:00,Electronics,170.75,4.0
248,John Doe,19,51845.0,2023-01-11 07:00:00,Sports,183.54,3.0
249,Bob White,44,73861.0,2023-01-11 08:00:00,Sports,115.53,3.0
250,Alice Brown,33,92304.0,2023-01-11 09:00:00,Books,376.21,2.0
251,John Doe,22,108271.0,2023-01-11 10:00:00,Home & Kitchen,496.49,2.0
252,Bob White,29,113546.0,2023-01-11 11:00:00,Clothing,35.88,
253,Bob White,43,84384.0,2023-01-11 12:00:00,Sports,206.47,4.0
254,Alice Brown,32,110061.0,2023-01-11 13:00:00,Sports,174.91,2.0
255,John Doe,20,37452.0,2023-01-11 14:00:00,Sports,180.63,1.0
256,Alice Brown,26,100329.0,2023-01-11 15:00:00,Electronics,264.49,3.0
257,John Doe,45,61481.0,2023-01-11 16:00:00,Clothing,331.05,
258,Charlie Gray,56,92021.0,2023-01-11 17:00:00,Electronics,248.15,3.0
259,Jane Smith,53,,2023-01-11 18:00:00,Electronics,381.89,2.0
260,Jane Smith,42,42248.0,2023-01-11 19:00:00,Clothing,36.32,4.0
261,Jane Smith,58,58366.0,2023-01-11 20:00:00,Books,401.36,2.0
262,Alice Brown,45,74614.0,2023-01-11 21:00:00,Home & Kitchen,441.94,3.0
263,Charlie Gray,64,,2023-01-11 22:00:00,Home & Kitchen,300.74,5.0
264,John Doe,38,61708.0,2023-01-11 23:00:00,Home & Kitchen,163.31,
265,Bob White,46,45467.0,2023-01-12 00:00:00,Electronics,239.56,3.0
266,John Doe,42,64332.0,2023-01-12 01:00:00,Electronics,299.73,2.0
267,Bob White,47,,2023-01-12 02:00:00,Electronics,399.17,4.0
268,John Doe,56,36256.0,2023-01-12 03:00:00,Books,393.02,3.0
269,Charlie Gray,28,63673.0,2023-01-12 04:00:00,Electronics,176.92,2.0
270,Bob White,36,96117.0,2023-01-12 05:00:00,Clothing,219.35,3.0
271,Alice Brown,28,65162.0,2023-01-12 06:00:00,Electronics,383.81,4.0
272,John Doe,42,89431.0,2023-01-12 07:00:00,Electronics,217.04,2.0
273,John Doe,18,39809.0,2023-01-12 08:00:00,Sports,319.43,5.0
274,Bob White,49,52643.0,2023-01-12 09:00:00,Clothing,493.52,4.0
275,Alice Brown,38,75367.0,2023-01-12 10:00:00,Sports,421.09,4.0
276,Alice Brown,62,22680.0,2023-01-12 11:00:00,Sports,112.92,2.0
277,Charlie Gray,30,76491.0,2023-01-12 12:00:00,Electronics,208.86,5.0
278,Alice Brown,51,112888.0,2023-01-12 13:00:00,Books,274.9,5.0
279,Alice Brown,34,41086.0,2023-01-12 14:00:00,Clothing,301.08,5.0
280,Alice Brown,64,72400.0,2023-01-12 15:00:00,Electronics,152.43,3.0
281,Jane Smith,36,112758.0,2023-01-12 16:00:00,Home & Kitchen,460.26,1.0
282,Charlie Gray,27,116167.0,2023-01-12 17:00:00,Home & Kitchen,455.4,2.0
283,John Doe,59,110213.0,2023-01-12 18:00:00,Books,86.13,2.0
284,Bob White,26,80739.0,2023-01-12 19:00:00,Clothing,465.22,2.0
285,John Doe,28,45955.0,2023-01-12 20:00:00,Clothing,225.47,2.0
286,Charlie Gray,55,24038.0,2023-01-12 21:00:00,Sports,221.92,
287,Bob White,48,78494.0,2023-01-12 22:00:00,Home & Kitchen,95.46,5.0
288,Charlie Gray,19,95145.0,2023-01-12 23:00:00,Home & Kitchen,46.53,
289,Alice Brown,41,,2023-01-13 00:00:00,Home & Kitchen,127.99,2.0
290,Bob White,59,85795.0,2023-01-13 01:00:00,Clothing,440.64,4.0
291,Alice Brown,64,36660.0,2023-01-13 02:00:00,Electronics,206.46,4.0
292,John Doe,22,61769.0,2023-01-13 03:00:00,Home & Kitchen,460.21,4.0
293,John Doe,47,106611.0,2023-01-13 04:00:00,Home & Kitchen,301.86,2.0
294,Bob White,56,90096.0,2023-01-13 05:00:00,Books,9.08,3.0
295,Bob White,52,,2023-01-13 06:00:00,Sports,168.76,4.0
296,Charlie Gray,34,56094.0,2023-01-13 07:00:00,Books,68.15,3.0
297,Charlie Gray,48,50218.0,2023-01-13 08:00:00,Electronics,374.02,5.0
298,Alice Brown,19,39318.0,2023-01-13 09:00:00,Books,340.12,2.0
299,Bob White,33,100523.0,2023-01-13 10:00:00,Books,118.11,3.0
300,John Doe,38,56126.0,2023-01-13 11:00:00,Home & Kitchen,108.24,5.0
301,Charlie Gray,47,81086.0,2023-01-13 12:00:00,Home & Kitchen,451.73,5.0
302,Charlie Gray,18,81686.0,2023-01-13 13:00:00,Sports,63.11,1.0
303,John Doe,31,67144.0,2023-01-13 14:00:00,Sports,21.34,1.0
304,Charlie Gray,33,104079.0,2023-01-13 15:00:00,Books,186.3,5.0
305,Alice Brown,26,88299.0,2023-01-13 16:00:00,Clothing,284.08,3.0
306,Bob White,25,34192.0,2023-01-13 17:00:00,Clothing,459.95,2.0
307,John Doe,26,81900.0,2023-01-13 18:00:00,Sports,456.22,3.0
308,Bob White,51,81347.0,2023-01-13 19:00:00,Electronics,74.1,1.0
309,Charlie Gray,62,23276.0,2023-01-13 20:00:00,Sports,394.55,
310,Charlie Gray,50,67742.0,2023-01-13 21:00:00,Books,467.55,2.0
311,John Doe,39,108129.0,2023-01-13 22:00:00,Clothing,417.59,2.0
312,Alice Brown,47,115600.0,2023-01-13 23:00:00,Books,210.04,1.0
313,Jane Smith,24,113966.0,2023-01-14 00:00:00,Electronics,107.84,1.0
314,John Doe,35,118764.0,2023-01-14 01:00:00,Home & Kitchen,458.21,4.0
315,Jane Smith,38,94273.0,2023-01-14 02:00:00,Sports,268.35,4.0
316,Jane Smith,22,73957.0,2023-01-14 03:00:00,Home & Kitchen,130.31,1.0
317,Alice Brown,24,24139.0,2023-01-14 04:00:00,Clothing,165.14,4.0
318,Jane Smith,29,34076.0,2023-01-14 05:00:00,Electronics,283.05,5.0
319,Jane Smith,34,103278.0,2023-01-14 06:00:00,Books,206.07,1.0
320,Alice Brown,41,48002.0,2023-01-14 07:00:00,Sports,24.81,2.0
321,Jane Smith,54,84873.0,2023-01-14 08:00:00,Clothing,289.32,4.0
322,Jane Smith,61,31653.0,2023-01-14 09:00:00,Electronics,205.89,2.0
323,Jane Smith,36,56324.0,2023-01-14 10:00:00,Books,239.36,1.0
324,John Doe,62,34119.0,2023-01-14 11:00:00,,377.57,4.0
325,John Doe,33,29477.0,2023-01-14 12:00:00,Clothing,17.71,3.0
326,John Doe,42,48746.0,2023-01-14 13:00:00,Books,37.53,3.0
327,Alice Brown,44,46125.0,2023-01-14 14:00:00,Home & Kitchen,5.51,3.0
328,Charlie Gray,59,28148.0,2023-01-14 15:00:00,Home & Kitchen,215.22,4.0
329,Jane Smith,61,50586.0,2023-01-14 16:00:00,Electronics,143.83,3.0
330,Jane Smith,24,77348.0,2023-01-14 17:00:00,Home & Kitchen,207.68,3.0
331,Alice Brown,63,64509.0,2023-01-14 18:00:00,Clothing,290.71,2.0
332,Jane Smith,59,33801.0,2023-01-14 19:00:00,Electronics,9.12,5.0
333,John Doe,25,47946.0,2023-01-14 20:00:00,Sports,83.42,2.0
334,Charlie Gray,32,96261.0,2023-01-14 21:00:00,Books,68.2,1.0
335,Bob White,33,61908.0,2023-01-14 22:00:00,Home & Kitchen,312.48,3.0
336,Jane Smith,25,75546.0,2023-01-14 23:00:00,Sports,297.64,5.0
337,John Doe,53,65722.0,2023-01-15 00:00:00,Books,43.39,4.0
338,Bob White,49,60311.0,2023-01-15 01:00:00,Clothing,401.77,1.0
